Game Date,Away Team,Home Team,Away_YRFI_Rate,Away_Avg_1st,Home_YRFI_Rate,Home_Avg_1st,YRFI
2025-04-11,Los Angeles Angels,Houston Astros,0.5,0.4,0.14285714285714285,0.0,0
2025-04-11,Chicago Cubs,Los Angeles Dodgers,0.375,0.875,0.42857142857142855,0.42857142857142855,0
2025-04-11,Washington Nationals,Miami Marlins,0.25,0.0,0.5,0.375,0
2025-04-11,Detroit Tigers,Minnesota Twins,0.42857142857142855,1.4285714285714286,0.75,1.25,0
2025-04-11,San Francisco Giants,New York Yankees,0.42857142857142855,1.0,0.8571428571428571,1.5714285714285714,1
2025-04-11,Colorado Rockies,San Diego Padres,0.14285714285714285,0.0,0.5,0.5,0
2025-04-11,Texas Rangers,Seattle Mariners,0.5714285714285714,0.2857142857142857,0.3,0.1,1
2025-04-11,Philadelphia Phillies,St. Louis Cardinals,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.42857142857142855,0
2025-04-11,Atlanta Braves,Tampa Bay Rays,0.75,0.5,0.5,0.9,1
2025-04-12,Milwaukee Brewers,Arizona Diamondbacks,0.5,0.125,0.4444444444444444,0.3333333333333333,0
2025-04-12,New York Mets,Athletics,0.375,0.125,0.5,1.0,0
2025-04-12,Toronto Blue Jays,Baltimore Orioles,0.3333333333333333,0.2222222222222222,0.6,1.0,1
2025-04-12,Boston Red Sox,Chicago White Sox,0.3333333333333333,0.2222222222222222,0.375,0.625,0
2025-04-12,Pittsburgh Pirates,Cincinnati Reds,0.3333333333333333,0.1111111111111111,0.5,0.875,0
2025-04-12,Kansas City Royals,Cleveland Guardians,0.4,0.6,0.4,0.8,0
2025-04-12,Los Angeles Angels,Houston Astros,0.6,0.6,0.25,0.0,1
2025-04-12,Chicago Cubs,Los Angeles Dodgers,0.3333333333333333,0.7777777777777778,0.375,0.375,0
2025-04-12,Washington Nationals,Miami Marlins,0.2,0.0,0.4444444444444444,0.3333333333333333,0
2025-04-12,Detroit Tigers,Minnesota Twins,0.5,1.375,0.8,1.0,1
2025-04-12,San Francisco Giants,New York Yankees,0.5,0.875,0.875,1.625,1
2025-04-12,Colorado Rockies,San Diego Padres,0.25,0.0,0.5555555555555556,0.5555555555555556,1
2025-04-12,Texas Rangers,Seattle Mariners,0.625,0.375,0.4,0.1,1
2025-04-12,Philadelphia Phillies,St. Louis Cardinals,0.375,0.375,0.75,0.375,1
2025-04-12,Atlanta Braves,Tampa Bay Rays,0.7777777777777778,0.4444444444444444,0.6,1.0,1
2025-04-13,Milwaukee Brewers,Arizona Diamondbacks,0.5555555555555556,0.3333333333333333,0.5,0.3,1
2025-04-13,New York Mets,Athletics,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.8888888888888888,0
2025-04-13,Toronto Blue Jays,Baltimore Orioles,0.4,0.2,0.6666666666666666,1.0,1
2025-04-13,Boston Red Sox,Chicago White Sox,0.3,0.2,0.3333333333333333,0.5555555555555556,0
2025-04-13,Pittsburgh Pirates,Cincinnati Reds,0.3,0.1,0.4444444444444444,0.7777777777777778,0
2025-04-13,Kansas City Royals,Cleveland Guardians,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0
2025-04-13,Los Angeles Angels,Houston Astros,0.7,0.7,0.3333333333333333,0.0,1
2025-04-13,Chicago Cubs,Los Angeles Dodgers,0.3,0.7,0.3333333333333333,0.3333333333333333,0
2025-04-13,Washington Nationals,Miami Marlins,0.16666666666666666,0.0,0.4,0.3,0
2025-04-13,Detroit Tigers,Minnesota Twins,0.5555555555555556,1.2222222222222223,0.8333333333333334,1.0,1
2025-04-13,San Francisco Giants,New York Yankees,0.5555555555555556,0.7777777777777778,0.8888888888888888,1.5555555555555556,1
